Имя Катушки;Тип катушки;Тип оболочки;Толщина стены;Мин. Радиус Изгиба;Единицы измерения;Внутренний диаметр до усадки;Наружный диаметр;Цвет;Плотность Провода;Единицы измерения массы;Наименование;Обозначение;Стандарт;
TRUBKA_305_TV-40T_5x1-2_WHTV;SHEATH;TUBE;1.2;12;MM;5x1.2;7.4;Белый;0.02999;GRAM;Трубка 305 ТВ-40Т, 5x1,2, белая, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40T_5x1-2_WHTV;ГОСТ 19034-82;
TRUBKA_305_TV-40T_50x4-5_WHTV;SHEATH;TUBE;4.5;15;MM;50x4.5;59;Белый;0.98852;GRAM;Трубка 305 ТВ-40Т, 50x4,5, белая, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40T_50x4-5_WHTV;ГОСТ 19034-82;
TRUBKA_305_TV-40T_0-5_BLKV;SHEATH;TUBE;0.3;5;MM;0.5;1.1;Черный;0.00097;GRAM;Трубка 305 ТВ-40Т, 0,5, черная, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40T_0-5_BLKV;ГОСТ 19034-82;
TRUBKA_305_TV-40T_0-75_BLKV;SHEATH;TUBE;0.3;5;MM;0.75;1.35;Черный;0.00127;GRAM;Трубка 305 ТВ-40Т, 0,75, черная, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40T_0-75_BLKV;ГОСТ 19034-82;
TRUBKA_305_TV-40T_1_BLKV;SHEATH;TUBE;0.4;5;MM;1;1.8;Черный;0.00226;GRAM;Трубка 305 ТВ-40Т, 1, черная, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40T_1_BLKV;ГОСТ 19034-82;
TRUBKA_305_TV-40T_1-5_BLKV;SHEATH;TUBE;0.4;5;MM;1.5;2.3;Черный;0.00306;GRAM;Трубка 305 ТВ-40Т, 1,5, черная, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40T_1-5_BLKV;ГОСТ 19034-82;
TRUBKA_305_TV-40T_1-75_BLKV;SHEATH;TUBE;0.4;5;MM;1.75;2.55;Черный;0.00347;GRAM;Трубка 305 ТВ-40Т, 1,75, черная, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40T_1-75_BLKV;ГОСТ 19034-82;
TRUBKA_305_TV-40T_2_BLKV;SHEATH;TUBE;0.4;5;MM;2;2.8;Черный;0.00387;GRAM;Трубка 305 ТВ-40Т, 2, черная, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40T_2_BLKV;ГОСТ 19034-82;
TRUBKA_305_TV-40T_2-5_BLKV;SHEATH;TUBE;0.4;5;MM;2.5;3.3;Черный;0.00468;GRAM;Трубка 305 ТВ-40Т, 2,5, черная, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40T_2-5_BLKV;ГОСТ 19034-82;
TRUBKA_305_TV-40T_3_BLKV;SHEATH;TUBE;0.4;5;MM;3;3.8;Черный;0.00548;GRAM;Трубка 305 ТВ-40Т, 3, черная, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40T_3_BLKV;ГОСТ 19034-82;
TRUBKA_305_TV-40T_3-5_BLKV;SHEATH;TUBE;0.4;5;MM;3.5;4.3;Черный;0.00629;GRAM;Трубка 305 ТВ-40Т, 3,5, черная, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40T_3-5_BLKV;ГОСТ 19034-82;
TRUBKA_305_TV-40T_4_BLKV;SHEATH;TUBE;0.6;7;MM;4;5.2;Черный;0.01112;GRAM;Трубка 305 ТВ-40Т, 4, черная, высшего сорта ГОСТ 19034-82;TRUBKA_305_TV-40T_4_BLKV;ГОСТ 19034-82;
